No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
5310|Auto Calibration failure|The abnormalities in an automatic calibration parameter.|The parameter in an automatic calibration constant file is unusual.|Please set up a constant file correctly.|Error reset.|A|A|A|A|on|on
5311|Auto Calibration failure|Automatic calibration measurement file error.|It has not accessed whether a measurement file could be created.|Please enable it to create a measurement file.|Error reset.|A|A|A|A|on|on
5312|Auto Calibration failure|The abnormalities in automatic calibration correct.|Reliability is not in the measured data. There is a possibility that the sensor might incorrect-detect or a totter may be in attachment of atool.|Please perform reference point acquisition again.|Error reset.|A|A|A|A|on|on
5313|Auto Calibration failure|The abnormalities in work program compensation.|Abnormalities occurred at the time of work program compensation.|Please perform reference point acquisition again.|Error reset.|A|A|A|A|on|on
5314|Auto Calibratio|The abnormalities in work program|Abnormalities occurred at the time of work program compensation.|It is not especially.|No reset operations|I|I|I|I|on|on
5315|Auto Calibration failure|A robot's position is shifted greatly.|Since a robot's position is shifted greatly, measurement is uncontinuable.|Please acquire a measuring point again after correcting a gap of a robot to the range which can be measured using a torch gauge or a point mark.|Error reset.|A|A|A|A|on|on
5316|Auto Calibration failure|All measuring points are not acquired.|The gap of a robot was detected in the state where all measuring points have not measured.|Please measure all measuring points.|Error reset.|A|A|A|A|on|on
5317|Auto Calibration failure|CALIBROB (FN702) cannot be performed.|Datum point acquisition mode CALIBROB (FN702) was performed.|It is not especially.|Error reset.|I|I|A|A|on|on
5318|Auto Calibration failure|Cannot search.|It becomes this error when the inputted search operation distance is too large.|Modify(enlarge) the search range or program to rectify error.|Error reset.|A|A|A|A|on|on
5319|Auto Calibration failure|The minimum search distance error.|This error occurs when the robot moves beyond search range|Modify(enlarge) the search range or program to rectify error.|No reset operations neccesary.|A|A|A|A|on|on
5320|Auto Calibration failure|The abnormalities in calibration compensation at the time of remeasurement.|Reliability is not in the measured data. There is a possibility that the sensor might incorrect-detect or a totter may be in attachment of a tool.|Please perform measuring point acquisition again.|Error reset.|A|A|A|A|on|on
5321|Auto Calibration failure|The quick checki point is not measured.|Although the all-points measurement of the quick checki point is not carried out, MESPOS (FN700) was performed.|Please measure the quick checki point again.|Error reset.|A|A|A|A|on|on
5322|Auto Calibration failure|Reference point error.|Reference point was not taken from point 1Q.|Please perform taking reference point from point 1Q.|Error reset.|A|A|A|A|on|on
5323|Auto Calibration failure|Reference point error.|Reference point was not taken from point 1A.|Please perform taking reference point from point 1A.|Error reset.|A|A|A|A|on|on
5330|Auto Calibration failure|Measuring point Orientation error.|This error occurs when the "A" and "B" points have different orientation. There is a possibility that the sensor might incorrect-detect or a totter may be in attachment of a tool.|Please perform measuring point acquisition again.|No reset operations neccesary.|A|A|A|A|on|on
5331|Auto Calibration failure|Measuring point orientation error(At the time of the direction search of Z).|It becomes this error when the orientation of the measuring point at the time of the direction search of Z differs from A1, B1 or A2, and B-2.There is a possibility that the sensor might incorrect-detect or a totter may be in attachment of a tool.|Please perform measuring point acquisition again.|No reset operations neccesary.|A|A|A|A|on|on
5332|Auto Calibration failure|The abnormalities in automatic calibration correct.|Reliability is not in the measured data. There is a possibility that the sensor might incorrect-detect or a totter may be in attachment of a tool.|Please perform measuring point acquisition again.|Error reset.|A|A|A|A|on|on
5333|Auto Calibration failure|The abnormalities in work program compensation.|Abnormalities occurred at the time of work program compensation.|Please perform measuring point acquisition again.|Error reset.|A|A|A|A|on|on
5334|Auto Calibration failure|Measuring point error.|Measuring point was not taken from point 1Q.|Please perform taking measuring point from point 1Q.|Error reset.|A|A|A|A|on|on
5335|Auto Calibration failure|Measuring point error.|Measuring point was not taken from point 1A.|Please perform taking measuring point from point 1A.|Error reset.|A|A|A|A|on|on
5400|Sensor failure|Abnormal setting of the speed monitoring range|This error occurs when the minimum value of speed monitoring value exceeds the maximum value in the condition settings for the adaptive control.|Review the minimum and maximum value of the speed monitoring value.|Error reset.|A|A|A|A|on|on
5401|Sensor failure|Abnormal setting of the current monitoring range|This error occurs when the minimum value of current monitoring value exceeds the maximum value in the condition settings for the adaptive control.|Review the minimum and maximum value of the current monitoring value.|Error reset.|A|A|A|A|on|on
5402|Sensor failure|Abnormal setting of the voltage monitoring range|This error occurs when the minimum value of voltage monitoring value exceeds the maximum value in the condition settings for the adaptive control.|Review the minimum and maximum value of the voltage monitoring value.|Error reset.|A|A|A|A|on|on
5403|Sensor failure|Adaptive condition setting error|An illegal setting change of an adaptive condition was done in the tracking section. Effective and the invalidity of an adaptive control cannot be switched in the tracking section, and the number of samples of moving averages be changed.|Please confirm the specified LSR file number. Please confirm the content of the LSR file set when the specified number is correct.|Error reset.|A|A|A|A|on|on
5404|Sensor failure|Adaptive weaving amplitude over|Weaving amplitude specified by adaptive control exceeds maximum amplitude watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum amplitude watch value of adaptive control.|Error reset.|A|A|A|A|on|on
5406|Sensor failure|ZF Posture Deviation range exceeded.|This error occurs when the difference between the target posture calculated by ZF instruction and the taught posture exceeds Posture deviation range.|Check the target posture If no problems exist, moodify(enlarge) the ZF parameters or program to rectify error.|Error reset.|A|A|A|A|on|on
5408|Sensor failure|Maximum distance in ZN command is too long.|Target position calculated by ZN command is out of the movable area because Maximum distance in ZN command is too long.|Decrease the maximum distance in ZN command.|Error reset.|A|A|A|A|on|on
5410|Sensor failure|Stability waiting time over|The stability waiting time was exceeded.|(1)Modify(enlarge) stable waiting time to rectify error. (2)Modify the teaching point so that the groove is within the field of view of laser. (3)When the groove is within the field of view, modify the parameters by the software|Error reset.|A|A|A|A|on|on
5411|Sensor failure|ZJ Deviation range exceeded|This error occurs when the distance between the detected point and ZJ reference point exceeded the deviation range.|Check detected position. If no problems exist, modify(enlarge) the ZJ deviation range parameter or program to rectify error.|Error reset.|A|A|A|A|on|on
5412|Sensor failure|Adaptive Wire Speed Over|Wire Speed specified by adaptive control exceeds maximum wire speed watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum wire speed watch value of adaptive control.|Error reset.|A|A|A|A|on|on
5413|Sensor failure|Adaptive Wire Speed Short|Wire speed specified by adaptive control becomes lower than minimum wire speed watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, decrease minimum wire speed watch value of adaptive control.|Error reset.|A|A|A|A|on|on
5414|Sensor failure|Area Over|Detected area is exceeded beyond maximum allowable value.|Check the area watch value(maximum) and enlarge if needed.|Error reset.|A|A|A|A|on|on
5415|Sensor failure|Area Short|Detected area becomes lower than minimum allowable value.|Check the area watch value(minimum) and decrease if needed.|Error reset.|A|A|A|A|on|on
5416|Sensor failure|Mismatch Over|Detected mismatch is exceeded beyond maximum allowable value.|Check the mismatch watch value(maximum) and enlarge if needed.|Error reset.|A|A|A|A|on|on
5417|Sensor failure|Mismatch Short|Detected mismatch becomes lower than minimum allowable value.|Check the mismatch watch value(minimum) and decrease if needed.|Error reset.|A|A|A|A|on|on
5418|Sensor failure|Search position was changed.|It differs from the position in which search position obtained reference position.|Please execute the trial movement or the edit, and get reference position again.|Error reset.|A|A|A|A|on|on
5419|Sensor failure|SF8 Max. Compensative-Surveila nce val. Over|Contents of the register specified in SF8 exceeded beyond Max. Compensative-Surveilance val.|Check contents of the register specified in SF8. If there is no problem, increase Max. Compensative-Surveilance val. in SF8.|Error reset.|A|A|A|A|on|on
5420|Sensor failure|SF8 Min. Compensative-Surveila nce val. Short|Contents of the register specified in SF8 becomes lower than Min. Compensative-Surveilance val.|Check contents of the register specified in SF8. If there is no problem, decrease Min. Compensative-Surveilance val. in SF8.|Error reset.|A|A|A|A|on|on
5421|Sensor failure|The touch detection point is abnormal.|It leaves the final instruction position too much the position in which the touch signal was detected.|Contact our service department. Back up files to external CF memory. Because the robot stop step is different to the execute step, step-set must be needed for restart.|Turn on the power again.|A|A|A|A|on|on
5422|Sensor failure|Adaptive EN Ratio Over|EN ratio specified by adaptive control exceeds maximum EN ratio watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum EN ratio watch value of adaptive control.|Error reset.|A|A|A|A|on|on
5423|Sensor failure|Adaptive EN Ratio Short|EN ratio specified by adaptive control becomes lower than minimum EN ratio watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, decrease minimum EN ratio watch value of adaptive control.|Error reset.|A|A|A|A|on|on
5424|Sensor failure|Abnormal setting of the EN Ratio monitoring range|This error occurs when the minimum value of EN ratio monitoring value exceeds the maximum value in the condition settings for the adaptive control.|Review the minimum and maximum value of the EN ratio monitoring value.|Error reset.|A|A|A|A|on|on
5425|Sensor failure|Abnormal setting of the Wire speed monitoring range|This error occurs when the minimum value of Wire speed monitoring value exceeds the maximum value in the condition settings for the adaptive control.|Review the minimum and maximum value of the Wire speed monitoring value.|Error reset.|A|A|A|A|on|on
5426|Sensor failure|Normal Angle Over|Detected Normal angle is exceeded beyond maximum allowable value.|Check that Normal angle amount and modify allowable value if needed.|Error reset.|A|A|A|A|on|on
5427|Sensor failure|Normal Angle Short|Detected Normal angle becomes lower than minimum allowable value.|Check that Normal angle amount and modify allowable value if needed.|Error reset.|A|A|A|A|on|on
5428|Sensor failure|Sensor kind is mismatched.|This error occurs when the sensor kind in the sensor step does not meet that of the connected sensor.|Check that sensor settings and /or teaching programs.|Reset failure.|A|A|A|A|on|on
5429|Sensor failure|The target position and posture cannot be calculated.|The target position and posture were not able to be calculated according to the detection value of the sensor, taught aim angle and the lag angle.|Please correct specified Aim Angle and Lad Angle. Please confirm whether detected Joint Normal Angle is an expected angle with the GAP file. It is likely to become Joint Normal not anticipated according to the state of Groove. (3) It is likely to become this abnormality when the absolute amount of the offset is too large at two point search. Please reduce it in that case.|Error reset.|A|A|A|A|on|on
5430|Operation al failure|Playback unavailable user task program because it is being used all user task.|Error occurs when it is not able to start user task program ,because used all user task or not exist user task program.|Please confirm the starting condition of user task.|Error reset.|A|A|A|A|on|on
5441|Sensor failure|The welding length of Test Tracking is insufficient.|Test Trackinig was not able to be completed normally, because the welding length was insufficient|Please correspond whether to lengthen the welding length or to slow down the speed or to raise the weaving frequency or to reduce one section measurement frequency of the Test Tracking setting.|No reset operations neccesary.|A|A|A|A|off|on
5442|Sensor failure|Test Tracking is stopped.|Test Tracking is discontinued for sensor OFF or weaving OFF.|Please OFF both sensor and weaving.|No reset operations neccesary.|A|A|A|A|off|on
5443|Sensor failure|Data Sending Error.|Data was not able to be sent to the sensor.|Reboot AX System. Still, there is a possibility that the increase serial board has been damaged when not released.|Turn on the power again.|A|A|A|A|on|on
5444|Sensor failure|Sensor Receive Data Error.|NAK frame was received from the sensor.|Please confirm the connection of the cable between the robot controller system and the arc sensor unit. Still, when it is not released, Control power supply is re-switched on.|Error reset.|A|A|A|A|on|on
5445|Sensor failure|Sensor Send Data Error.|An abnormal frame was received from the sensor.|(1)Please confirm the connection of the cable between the robot controller system and the arc sensor unit. (2)Still, when it is not released, Control power supply is re-switched on.|After removal of failure, please carry out "failure-reset".|A|A|A|A|on|on
5446|Sensor failure|No Sensor Response.|Response command from the sensor was not able to be received.|(1)Please confirm the connection of the cable between the robot controller system and the arc sensor unit. (2)Still, when it is not released, Control power supply is re-switched on.|After removal of failure, please carry out "failure-reset".|A|A|A|A|on|on
5447|Sensor failure|Sensor ID error.|Illegal Sensor ID.|Please confirm the sensor setting.|After removal of failure, please carry out|A|A|A|A|on|on
5448|Sensor failure|The controller could not communicate with the Sensor unit.|The controller could not communicate with the sensor unit.|Reboot AX System and sensor unit. In case that the error still occurs after rebooting, check the connection of the sensor unit to the controller.|Reboot AX system and sensor unit.|E|E|E|E|on|on
5449|Sensor failure|ST instruction or the sample data file is wrong.|The result of an online modification cannot be applied to the sample data.|Please set 0 to current response after executing the test tracking. If TIG-AVC, set 0 to arc standard voltage.|Error reset.|A|A|A|A|on|on
5450|Sensor failure|Extended Ethernet Error|It failed in the start of extended Ethernet.|Please confirm whether the extended Ethernet card is correctly installed. Or, please confirm whether the MAC address is correctly set. Still, there is a possibility that the version of OS is old when this abnormality occurs. Please contact our service department after confirming the version number of OS etc. Back up files to external CF memory.|Reset failure.|A|A|A|A|on|on
5451|Sensor failure|Sensor Lens Error|Abnormality concerning the lens was detected with the sensor camera.|Please confirm whether the protective lens is correctly installed. Please wipe dirt off when the protective lens is dirty or exchange it for a new lens.|Reset failure.|A|A|A|A|on|on
5452|Sensor failure|Sensor Interface Error|The sensor detected the error concerning the telecommunication control.|Please treat it according to the instruction of the manual when abnormality is displayed on the display of the sensor.Please put the power supply of the sensor and the controller again when abnormality is not displayed. Please contact our service after confirming the version of the sensor and the controller when same abnormality is displayed afterward.|Reset failure.|A|A|A|A|on|on
5453|Sensor failure|Sensor Hot Alarm|An internal abnormal temperature was detected with the sensor camera.|Please drop the power supply of the sensor, and put time for a while at once. Please turn on the power supply again after falling the temperature of the camera.|Reset failure.|A|A|A|A|on|on
5454|Sensor failure|Laser OFF|The Laser is disabled.|Please execute it after turning on the laser light. Please check whether cables are correctly connected when it doesn't turn on the laser light. Or, please put the power supply of the sensor and the controller again.|Reset failure.|A|A|A|A|on|on
5455|Sensor failure|The task number is wrong.|The specified task number doesn't exist in the sensor.|(1)Please specify the task number made with WeldCom. (2)Please make the task library of the specified task number with WeldCom. (3)Please load the task library file where the specified task number exists into the sensor by using WeldCom.|Reset failure.|A|A|A|A|on|on
5456|Sensor failure|The posture change amount is excessive.|The calculated target posture has greatly changed into the posture when groove is detected. And, when the amount of the change exceeds the posture change over watch value, this alarm is detected.|Please correct specified Aim Angle and Lead Angle. Please confirm whether detected Joint Normal Angle is an expected angle with the GAP file. It is likely to become Joint Normal not anticipated according to the state of Groove. (3) Check that actual posture change amount and modify the posture change over watch value if needed.|Reset failure.|A|A|A|A|on|on
5500|User failure|Installation Angle is updated.|Installation Angle is updated by request from OLP.|Check [Constant Setting]->[12 Format and Configuration]->[5 Installation Angle].|No reset operations neccesary.|A|A|A|A|on|on
5501|User failure|Tool Constants are updated.|Tool Constants are updated by request from OLP.|Check [Constant Setting]->[3 Machine Constants]->[1 Tool Constants].|No reset operations neccesary.|A|A|A|A|on|on
5510|Operation al failure|Playback unavailable user task program because it is being used all user task.|Error occurs when it is not able to start user task program ,because used all user task or not exist user task program.|Please confirm the starting condition of user task.|Error reset.|I|I|I|I|on|on
5701|Operation al failure|Option un-setting up.|It generates, when it is going to use the option function which is not set up.|Please set up an option.|No reset operations neccesary.|A|A|A|A|on|on
5702|Operation al failure|It cannot re-start.|Movement in a return position or a section state cannot be resumed.|Please re-start after a step-set out of the section.|No reset operations neccesary.|A|A|A|A|on|on
5703|Shift failure|The input-and-output signal is not set up.|This error occurs when the input-and-output signal is not set up.|Set up an input-and-output signal.|Error reset.|A|A|A|A|on|on
5704|Shift failure|Abnormality occurred by the parity check of the shift input signal.|The value of the shift input signal is not steady.|Please the parity bit of the shift input signal must normally input or confirm whether the noise has gotten on the signal.|No reset operations neccesary.|A|A|A|A|on|on
5705|Shift failure|Other units are running program.|This function command cannot be performed while running the program of other units.|Please perform again after stopping all units.|Error reset.|A|A|A|A|on|on
6005|Arc weld failure|The weaving trajectory exceeded regulation speed.|The amount of movements of weaving pattern data large, or frequency (speed) was large, the speed of a weaving trajectory exceeded regulation speed.|Please correct the amount of movements of weaving, or frequency (speed).|No reset operations neccesary.|I|I|I|I|on|on
6006|Arc weld failure|The amount of posture change of taught weaving exceeded the restriction value.|The amount of change of the posture of weaving pattern data is too large.|Please correct posture change of taught weaving pattern data.|Move posture change restriction-withi n the limits.|I|I|I|I|on|on
6010|Arc weld failure|The welding current value has exceeded the allowable limit.|The difference between the welding current value measured by the welding power supply and the taught one has exceeded the allowable limit set by the arc constants.|Check the welding conditions(wire extension etc). There is possibility of missmatch the welding characteristic data to your environment if this failure occurs over and over again. In such case, adjust the welding characteristic data by the adjudstment of welding condition function etc.|No reset operations neccesary.|I|I|I|I|on|on
6011|Arc weld failure|The welding voltage value has exceeded the allowable limit.|The difference between the welding voltage value measured by the welding power supply and the taught one has exceeded the allowable limit set by the arc constants.|Check the welding conditions(wire extension etc). There is possibility of missmatch the welding characteristic data to your environment if this failure occurs over and over again. In such case, adjust the welding characteristic data by the adjudstment of welding condition function etc.|No reset operations neccesary.|I|I|I|I|on|on
6014|Arc weld failure|Arc start failure.|No arc is generated after retrying.|Check the workpiece's condition, wire's condition, and connection of the cable.|No reset operations neccesary.|I|I|I|I|on|on
6015|Arc weld failure|Arc outage was detected.|Arc outage occurred during welding.|Eliminate all causes of arc outage, for instance by adjusting the wedling conditions, fixing wire feed failure, and so on.|No reset operations neccesary.|I|I|I|I|on|on
6016|Arc weld failure|Wire stick was detected.|Wire is stuck.|Cut stuck wire.|No reset operations neccesary.|I|I|I|I|on|on
6019|Arc weld failure|Wire shortage was detected.|Not enough wire signal is inputted.|Supply wire.|No reset operations neccesary.|I|I|I|I|on|on
6024|Arc weld failure|Input voltage shortage failure ocurred in the welding power supply.|The primary input voltage of the welding power supply has decreased.|Refer to the instruction manual of the welding power supply(Failure Name: Input voltage shortage) and eliminate all causes.|No reset operations neccesary.|I|I|I|I|on|on
6043|Arc weld failure|The load of wire feed exceeded allowable value.|It exceeded the allowable value which the load of wire feed was set up to by the welding fixed number.|A load is on the wire feed department by wear of the liner, the chip defect, and so on. Get rid of load factors.|No reset operations neccesary.|I|I|I|I|on|on
6044|Arc weld failure|The battery of welding power supply is exhausted.|The battery of welding power supply is exhausted.|Exchange a battery because it can't be connected any more with the welding power supply.|No reset operations neccesary.|I|I|I|I|on|on
6054|Arc weld failure|WCR Short-circuit Error|WCR of W-I/F had connected too hastily at the time of an arc start.|Please check the state of W-I/F, and a welding power supply.|No reset operations neccesary.|I|I|I|I|on|on
6074|Arc weld failure|The cooler fan failure ocurred in the welding power supply.|The cooler fan's rotation has fallen or it stops.|Refer to the instruction manual of the welding power supply(Failure Name: The cooler fan failure) and eliminate all causes.|No reset operations neccesary.|I|I|I|I|on|on
6080|Operation al failure|It was going to start the unit containing the resources under starting.|It will generate, if the unit containing the resources under starting is started.|Please start after waiting for the completion of starting.|No reset operations neccesary.|I|I|I|I|on|on
6085|Arc weld failure|Communication timeout occurred inside the welding power supply.|The contollor of the welding power supply didn't respond.|Check the route of cable and ground connection.|No reset operations neccesary.|I|I|I|I|on|on
6106|Arc weld failure|The pilot arc outage is abnormal.|The pilot arc outage occurred.|Check the connection condition of the cable.|No reset operations neccesary.|I|I|I|I|on|on
6107|Arc weld failure|Setting error of the failure limit type.|The failure limit by the rate cannot be set by the version of this welder.|In the welding constant, please set a relative value.|No reset operations neccesary.|I|I|I|I|on|on
6108|Arc weld failure|Pilot arc ON error.|The pilot arc was not able to be turned on.|Please check follows. (1)Turn off the purge(cleaning gas). (2)Release the emergency stop. (3)Reset plasma unit/WPS error. (4)Set weld ON. (5)Set the registration of welder "PlasmaDA" or "PlasmaWPS".|No reset operations neccesary.|I|I|I|I|on|on
6109|Arc weld failure|Purge(Cleaning gas) ON error.|The purge(cleaning gas) was not able to be turned on.|Please check follows. (1)Turn off the pilot arc. (2)Release the emergency stop. (3)Reset plasma unit error.|No reset operations neccesary.|I|I|I|I|on|on
6116|Arc weld failure|The management of the consumption of the wire of the user maintenance function cannot be used.|The arc welding power supply doesn't correspond to the management of the consumption of the wire.|The upgrade should do the software of the arc welding power supply.|No reset operations neccesary.|I|I|I|I|on|on
6117|Arc weld failure|The Gas OFF Delay function cannot be used.|The arc welding power supply doesn't correspond to the Gas Off Delay function.|The upgrade should do the software of the arc welding power supply. Or, please set the Gas OFF Delay time to 0.|No reset operations neccesary.|I|I|I|I|on|on
6121|Arc weld failure|The gas mass flow value has exceeded the allowable limit.|The difference between the gas mass flow value measured by the welding power supply and the taught one has exceeded the allowable limit set with the controller.|Please confirm the remainder pressure of gas cylinder, the piping of the gas, and the setting of the gas mass flow control unit.|No reset operations neccesary.|I|I|I|I|on|on
6122|Arc weld failure|The gas pressure value has exceeded the allowable limit.|The gas pressure measured in the arc welding power supply exceeded the limiting value set with the controller.|Please confirm the remainder pressure of gas cylinder, the piping of the gas, and the setting of the gas mass flow control unit.|No reset operations neccesary.|I|I|I|I|on|on
6123|Arc weld failure|The set gas mass flow is not output.|The set gas mass flow was not output in specified time.|Please confirm the residual quantity of the gas cylinder, the piping of the gas, and the setting of the gas mass flow control unit.|No reset operations neccesary.|I|I|I|I|on|on
6140|Arc weld failure|The speed of the wire speed has exceeded the allowable limit.|The speed of the wire measured in the arc welding power supply has exceeded the allowable limit at the speed of the wire that the arc welding power supply output.|Please confirm whether an excessive load contracts the wire feeder. Please contact our customer service center when the permissible value is large.|No reset operations neccesary.|I|I|I|I|on|on
6141|Arc weld failure|The welding redorder function cannot be used.|There is not becoming empty in the memory that memorizes the welding record data.|Please reduce the number of record data.|No reset operations neccesary.|I|I|I|I|on|on
6142|Arc weld failure|The welding record file cannot be made.|The file cannot be made because there is no free space of the device.|Please secure the free space of the device.|No reset operations neccesary.|I|I|I|I|on|on
6143|Arc weld failure|Threshold trigger|The threshold specified under the welding record condition was detected in the arc welding power supply.|Please confirm the arc welding construction condition.|No reset operations neccesary.|I|I|I|I|on|on
6144|Arc weld failure|Welding recorder cannot connect to FTP server.|It was not a connection to the FTP server that was saving device for a welding recorder. Or, neither an initial folder nor the folder of this name existed on the home directory of the FTP server.|Please confirm host name, user ID, password, and initial folder of ftp client.|No reset operations neccesary.|I|I|I|I|on|on
6145|Arc weld failure|Abnormality occurred while saving the welding record file.|The welding recorder cannot save record file. The storage medium is not prepared, and read-only and memory capacity shortage, etc. are thought.|Please confirm the state of the storage medium.|No reset operations neccesary.|I|I|I|I|on|on
6237|Sensor failure|Start Point un-detected|This failure occurs when the start point is not detected during ZF search.|(1)Check the groove recognization by WinUser. (2)Enlarge the ZF maximum search range.|Error reset.|I|I|I|I|on|on
6238|Sensor failure|Cannot restart during seam tracking.|Cannot restart during seam tracking.|Do not modify the position and posture of the robot when the robot is stopped in ZT period if the restarting is required.|Error reset.|I|I|I|I|on|on
6239|Sensor failure|ZF Deviation range exceeded|This error occurs when the distance between the detected start point and ZF taught point exceeded the deviation range.|Check detected position. If no problems exist, moodify(enlarge) the ZF deviation range parameter or program to rectify error.|Error reset.|I|I|I|I|on|on
6240|Sensor failure|ZF search range exceeded|This error occurs when the robot moves beyond search range|Modify(enlarge) the search range or program to rectify error.|Error reset.|I|I|I|I|on|on
6241|Sensor|ZT Position Deviation|This error occurs when the robot|Check the target position If no problems exist,|Error reset.|I|I|I|I|on|on
6243|Sensor failure|ZN Search range exeeced.|This error occurs when the robot moves beyond search range during ZN.|Modify(enlarge) the ZN search range or program to rectify error.|Error reset.|I|I|I|I|on|on
6245|Sensor failure|Deviation range exceeded.|This error occurs when the distance between the detected end point and taught point before ZE exceeded the deviation range.|Check the detected point. If no problems exist, Modify(enlarge) the deviation range or program to rectify error.|Error reset.|I|I|I|I|on|on
6249|Sensor failure|ZT Posture Deviation range exceeded|This error occurs when the robot moves beyond Posture deviation range|Check the target posture If no problems exist, moodify(enlarge) the ZT parameters or program to rectify error.|Error reset.|I|I|I|I|on|on
6261|Sensor failure|Groove un-detected.|Groove cannot be detected.|(1)Check that LASER power is ON.(2)Check the cable between Laser Sensor Unit and Sensor Head is connected properly.(3)Check the cable between Robot Controller and Laser Sensor Unit is connected properly.|Take countermeasur es and reset failure.|I|I|I|I|on|on
6294|Sensor failure|Adaptive welding current over|Welding current specified by adaptive control exceeds maximum current watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum current watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6295|Sensor failure|Adaptive welding current short|Welding current specified by adaptive control becomes lower than minimum current watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, decrease minimum current watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6296|Sensor failure|Adaptive welding voltage over|Welding voltage specified by adaptive control exceeds maximum voltage watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum voltage watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6297|Sensor failure|Adaptive welding voltage short|Welding voltage specified by adaptive control becomes lower than minimum voltage watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, decrease minimum voltage watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6298|Sensor failure|Adaptive travel speed over|Travel speed specified by adaptive control exceeds maximum speed watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum speed watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6299|Sensor failure|Adaptive travel speed short|Travel speed specified by adaptive control becomes lower than minimum speed watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, decrease minimum speed watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6300|Sensor failure|Search range exceeded.|This error occurs when the robot moves beyond search range|Modify(enlarge) the search range or program to rectify error.|No reset operations neccesary.|I|I|I|I|on|on
6301|Sensor failure|Search range is short|This error occurs when the robot detect the touch status within minimum search range.|Modify(shorten) the search range or program to rectify error.|No reset operations neccesary.|I|I|I|I|on|on
6302|Sensor failure|Deviation range exceeded.|This error occurs when the robot moves beyond deviation range|Modify(enlarge) the deviation range or program to rectify error.|No reset operations neccesary.|I|I|I|I|on|on
6303|Sensor failure|Gap Over|Detected gap is exceeded beyond maximum allowable value.|Check that gap amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6304|Sensor failure|Gap short|Detected gap becomes lower than minimum allowable value.|Check that gap amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6305|Sensor failure|Groove depth over|Detected groove depth is exceeded beyond maximum allowable value.|Check that groove depth amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6306|Sensor failure|Groove depth short|Detected groove depth becomes lower than minimum allowable value.|Check that groove depth amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6307|Sensor failure|Angle1 over|Detected angle1 is exceeded beyond maximum allowable value.|Check that angle1 amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6308|Sensor failure|Angle1 short|Detected angle1 becomes lower than minimum allowable value.|Check that angle1 amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6309|Sensor failure|Angle2 over|Detected angle2 is exceeded beyond maximum allowable value.|Check that angle2 amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6310|Sensor failure|Angle2 short|Detected angle2 becomes lower than minimum allowable value.|Check that angle2 amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6311|Sensor failure|Groove un-detected|Groove position cannot be detected|Check setting parameters in GFF file.|Error reset.|I|I|I|I|on|on
6312|Sensor failure|Unstable detection|This error occurs when measured data is unstable.|Check that target surface condition and/or measurement angle.|Error reset.|I|I|I|I|on|on
6329|Sensor failure|The target position and posture cannot be calculated.|The target position and posture were not able to be calculated according to the detection value of the sensor, taught aim angle and the lag angle.|Please correct specified Aim Angle and Lad Angle. Please confirm whether detected Joint Normal Angle is an expected angle with the GAP file. It is likely to become Joint Normal not anticipated according to the state of Groove. (3) It is likely to become this abnormality when the absolute amount of the offset is too large at two point search. Please reduce it in that case.|No reset operations neccesary.|I|I|I|I|on|on
6330|Sensor failure|Correction amount by arc-sensor exceeds specified value.|Error is activated when the case that correction amount by the sensor exceeds the specified value in teaching parameter.|Check that currect torch position. If it is OK, extend the value CHASING RANGE in teaching parameter. If it is NG, try to adjust sensor parameters.|Error reset.|I|I|I|I|on|on
